tweet_id,text,favorite_count
2042079478567071906',"To become great, you gotta be bad for a very long time.",16237
2040940397954994204',"It takes everyone a different amount of time to realize everyone is just thinking about themselves, no one was watching, and you should’ve just done whatever the fuck you wanted to all along.",6747
2040812868648800466',Cheap with generosity. Expensive with trust.,2740
2040055981653237985',I’d rather have someone with bad intentions help me unintentionally than someone with good intentions hurt me unintentionally.,1265
2040053538441806043',"When someone does something that hurts you, whether they did it on purpose or by accident, it hurts the same.

And when that happens, good intentions are worse than bad intentions because you never see it coming.",943
2040025796602155378',Believing that you have to be “born with it” is just a way of excusing yourself from trying.,1980
2039757760963948612',"You can beat 99% of people by making the hard decision the moment it most benefits you rather than the moment you get forced to do it.

-getting healthy 
-investing money
-asking the girl
-starting a business

TLDR: You don’t need to wait for a heart attack to workout & eat right",3269
2039683041820561615',"You have to work as big as you dream.

You've got to do them both and you've got to do them big.",3380
2039320789892432363',Aggressive with effort. Relaxed with outcome.,6509
2039004208658260442',"What's funny about taking life risk rather than financial risk is that if it doesn't go well, you're literally back in the same position that you started, except smarter.

When u think about it like that, you want to cash in as many life lotto tickets as you can, not as few.",2499
2038287395414774261',"One of the most profound behavior changes I've had as an entrepreneur, which was against my nature, was to stop seeking out opportunities when I still had problems I needed to fix within my business. 

You have to switch from shiny object syndrome to golden BB obsession. 

Fixing a hundred small things is more boring but creates the outsized outcomes the shiny object syndrome promises but never delivers.",2622
2038242845010882632',To succeed you just need to do so many reps is unreasonable that you fail.,5284
2037939903267496166',There's only one lesson that every child needs to learn from failure: to try again.,3225
2037893093094314436',It's okay to say that you don't have time for more people in your life for this season.,1824
2037847037669241212',"Just because someone trusts you quickly doesn't mean you need to trust them quickly. It's a more advanced manipulation move, typically from people who need something from you.",2413
2037667849666527483',"3 more self-improvement hacks that actually work:

1) Remove friends who do not support the version of you you want to become
2) Take micro risk daily (try & fail) rather than macros risk (never try, never succeed)
3) Do not consume before you produce (daily min production goals)",2880
2037619781189488881',"3 types of self improvement that actually work:
1) Set an alarm to go to bed (not wake up)
2) Find some physical movement you can do with other people, and do it daily
3) Automate the 95% of meals that aren't special so you can enjoy the 5% that are",2284
2037574732372181413',"5 Steps to solving 99% of sales issues:
1) Actually have an offer not just ""buy my thing""
2) Have a written script
3) Practice the script daily (don't allow off script sales)
4) Respond to leads immediately
5) Sell to richer customers

Actually do them rather than nod along.",2191
2037526915339403425',"If you compete on price, you'll always lose to someone more desperate than you.",3423
2037481111539073194',"How to make mega money:

Buy things that other people misjudge as risky.

Ex:
Quitting your job.
Moving across the country. 
Going all in.

The reality is that the alternative is riskier - it just takes longer to realize it.",4914
2037303936621883621',"If you obsess over acquiring customers, you'll lose them to competitors who obsess over keeping them. If you obsess over keeping customers, you'll never need to obsess over acquiring them.",2488
2037260397917724956',"Delegation is buying back your highest value hours with someone else's lower cost ones.

Automation is building back your highest value hours with a machine's lower cost ones.",1450
2037213084482445481',Your close rates have more to do with the quality of your reputation than the quality of your salespeople.,1260
2037168027545067903',"Most business problems get fixed with better people.

The reverse is also true.",1282
2037124992086008090',"Friendly reminder that if your customers always complain about your prices - you don't need to lower your prices, you just need to raise your customers.",1812
2036941525968617944',"If you make content, some people will find a way to hate you for it. 

This is a cost of doing business. Reminder: almost every major prophet was murdered - public sentiment is a poor short term gauge for human value (See: Jesus).

1) People create straw men: ""if you tell me I should focus on long term bets you're telling me I should NEVER enjoy my life""

2) You will become more interesting than smaller creators, and negative hooks create drama, so bad creators will make negative hooks about you because they don't know how to gather attention on their own.

3) Media is consumed in short snippets. 99% of people will never consume more than one angle - then derive an almost entirely self-generated opinion of you. This means most people will literally never understand you. IT also means that the praise and boos have equivalent value - zero.

TLDR: You cannot demand people have infinite context in a world that offers none.",1832
2036896225509974257',"How to beat a bigger competitor: 
Talk to customers more than they do.

He who is closest to the customer wins.",4737
2036851866492125640',You will make more money obsessing over why your customers leave than why they buy.,4055
2036801893939523693',"You can't just have high work ethic, you need high ""learn ethic.""
Work ethic is often being able to do the same thing over and over again without getting bored. 
Learn ethic is being able to try a new thing over and over again without getting frustrated.
You need both to win.",2262
2036479601338360072',"Friendly reminder that you're allowed to be stressed, angry, sad, frustrated, annoyed, aka have things generally not go your way…and still get shit done.",3804
2036216102834118924',"The easiest high stakes decision filter I have is:
""Do what makes you proud, not popular.""",1989
2036175708435915019',"The people that say I'm hard on myself typically weren't hard enough on themselves. Before following someones directions, look where their directions got them.",978
2036125375642870196',"Hard work > Talent
Smart work > Hard Work
Consistent hard work > smart work
Consistent Smart work >hard work

But you gotta do hard work to learn what smart work is. 
And you gotta do it consistently to even see it work to begin with.",3551
2036090140465246532',"Wealth isn't about having a lot of money.
It's about not needing anymore.",2475
2036038495110852731',You prove haters wrong with outcomes not arguments.,1752
2035997199801397389',"The only scheduling that has worked for me:
Schedule in the long term important stuff and assume urgent matters will fill in the cracks. And 9 times out of 10 urgent (unimportant) matters resolve themselves by ignoring them long enough to accomplish the important ones.",475
2035996696522678300',"The biggest lie I believed for the first 10yrs of being a business owner was that scaling was about getting more customers. It's about getting customers to never leave.

Scaling looks like a flat retention curve, and when your business never gets smaller, it scales by default.",2602
2035996193906704816',You'd be amazed how much more you win when you *actually* do ten times more than your closest competitor.,2707
2035996193206243586',"Lie: ""Quit your job so you never have a boss again!""

Reality: Your new boss is far more ruthless, gives no days off, and will fire you without notice on your first mistake.

Your new boss is called the customer.",4863
2035995689868730781',Hiring the wrong person is like putting diesel in a gas car. Everything looks fine until you try to drive them.,479
2035994935535739192',"""Follow your passion and you'll never work a day in your life."" False.
Reality: Follow your passion and you'll work every day of your life and mediocre people will tell you you're wrong everyday for not living your life the mediocre way they do.",716
2035994934847893939',"The goal is to just have enough partners to get what you want. Whenever you bring new people into your life, assume the most will not work out. In the beginning, you have no options, so expect to get burned more. It does get better. It just sucks more in the beginning.",380
2035994181362237847',"Entrepreneurship is an unending process of trading your time for increasingly valuable activities. The myth is that you will get to a point where you no longer are needed, but if you continue to grow as your company does, you will become more valuable, not less.",449
2035994180632318360',"How to spot a liar:

They say ""trust me""
Their past does not align with their promises
What they say and what they do are different (and they always have an excuse after the fact)",492
2035994179898368037',"People will spend a 1000 hours trying to make passive income and those same 1000 hours put to making active income would make them more than the passive income would ever make over the rest of their lives.

The people who have the most passive income start with high active income.

You've gotta have stuff to invest first - and - the ability to lose as you learn.

Don't believe the lie. A few get lucky on passive income schemes. But no one gets rich. 
Except for the one promoting them (which is their active income - surprise).",1342
2035993928173031804',"You just have to accept that career liars have more experience lying than you have detecting with liars. They lie all the time. You only get someone lying to you occasionally.

Once you find a partner or two who do what they say they will do, hold on to them and don't look back.",362
2035993676514812386',"If I could tell my 22-year-old self one thing about sales: Stop trying to convince people who can't afford it. A broke person who says yes is worse than a rich person who says no.

If you want to get money, go where the money is.",6402
2035993424823009314',"There are two groups of people:
People who see failures as setbacks.
People who see failures as mile markers.
The second group goes farther.",669
2035993174032937222',"5 things that happen when you stop making failure mean something about you:

1) You try bigger things
2) You recover faster from setbacks
3) You take more calculated risks
4) You learn lessons instead of wallowing
5) You become dangerous to your competition",834
2035993173231800571',"Before you succeed people will say ""Why are you working so hard?""
After you succeed people will say ""Why are you working so hard?""

Get used to it.",1176
2035992167815188906',"Content (that makes money) isn't just about getting attention. It's about keeping attention long enough to deliver value.
If you just get attention but return nothing for it, you are literally loud noise. It gets attention but everyone feels worse for it.",407
2035992167102165278',"Successful creators write 100 posts to find 10 that work. Unsuccessful ones write 10 posts and wonder why none work.
Quantity creates quality.
Volume negates luck.
You're not doing enough.",3176
2035992166431146105',"Successful people do important things first, urgent things second.
Average people do urgent things first and important things only when circumstances for them to. 
Losers avoid both.",2719
2035991914802266130',"It's okay to quit things you're good to pursue things that have more upside. Just make sure you're quitting because the other thing *actually* has more upside, not because it's new and you just haven't discovered the unknown downsides yet.",474
2035991160649629902',"Happy customers tell 3 people. Unhappy customers tell everyone. You'll get more our of finding ways to minimize customers unhappiness than trying to create ""more happy customers"". When you remove all pain from delivering value, happy customers just come as a by product.",596
2035991159869526488',It's okay to be obsessed with something everyone else thinks is boring. The world runs on people who care way too much about things most people don't think about at all.,620
2035948879527694707',"Good leaders incentivize people to perform.
Great leaders sell people on the mission. 
The best leaders get people to think the mission was their idea to begin with.",807
2035857770692608137',"If the same person comes to you with problems everyday, and they're not your spouse or child, probably worth removing them from your life until they can come to you with solutions.",2050
2035814814497591469',"When you die, all your problems become other people's problems.
But when other people die, most of their problems die with them
Which means most of the things you call problems never really mattered to begin with
If you can't pass them on, they're probably not worth holding onto.",987
2035766997791985681',"If your friends aren't happy about your success, they're not your friends.",2454
2035745482337845266',"Levels of influence:
1) Tell them what to do with authority
2) Incentivize them with reward
3) Sell them on it with persuasion
4) Get them to think it was their idea
If you want buy in, don't just sell, seed. We defend what we help create.",1278
2035722351011328051',"You can't both be in control of your life and also blame other people for it. Taking responsibility is about power not blame. You do it for yourself, not because you think the other person deserves forgiveness.",1117
2035676547282288995',"Want to know who your real friends are?

Tell them about a big goal you achieved and remove everyone who downplays it - immediately.",4524
2035526767797260655',"This is my ultimate signal to noise filter (it's written on my whiteboard above my computer screen):
Whenever someone brings me a problem...
1) What does that mean?
2) How do you know that
3) Why does it matter?

Logic - Evidence - Utility.",1546
2035355176408912259',"In 100 years, everyone reading this will be dead.

Their problems, worries, and opinions won't matter.

Neither will yours.

Think of it like a delayed universal blank slate - yours to paint as you see fit.",2272
2035313399547252846',People who have nothing to lose have everything to say about what you might lose by doing the thing they were afraid to do even though they have the same thing to lose as you - nothing.,1383
2035202227133194531',Losers becomes losers by being afraid of losing.,13175
2035131191272382647',"Passionate people work when they feel like it.
Committed people work because they've removed all other options.
The second beats the first every time.",2040
2035084381153632757',"If you've been thinking about starting a business for more than 6 months, stop.

Just offer to do something. Anything. For someone else. In exchange for money. Today.

And when you do, congrats, you own a business. 

Now you just gotta do more and better until the day you die.",3284
2035006015700168978',It’s easier to shit on someone’s goal than it is to know you want it too and realize you were too big of a coward to try for fear of not getting it.,2320
2034993071721717981',"Building for legacy is a socially acceptable way to procrastinate the good you could do today to ""tomorrow"" under the assumption that the people who inherit your ""impact"" will be as good at allocating it as you were at acquiring it. 

Unlikely. 

Do good while you're alive.",874
2034648113525452846',"The purpose of a hammer is to hit stuff.
Whether the hammer was good or bad is based on whether it was used to build or destroy.
To find the purpose of anything, look at what changed as a result of its existence.
To find your purpose, look at what changed because of you.",1461
2034622178143182958',"Friendly reminder that AI will never be worse than it is right now.

If you assume any rate of improvement over any reasonable period - learning how to use it becomes your #1 priority.",3962
2034600763960525119',"3 types of business problems:
1) You don't have enough customers
2) You don't keep the customers you have
3) You don't make enough per customer

Figure out which one you're dealing with, put all your resources towards that, and ignore everything/everyone else.",2971
2034583651355439266',"New entrepreneurs worry way too much about whether something is scalable and not enough about whether it's valuable.

Solve real problems and real money follows.",2800
2034366834003341563',"When you're on your deathbed, you won't regret cutting shitty people out of your life. You'll regret keeping them in it.",3379
2033721480995914047',"You don't have to be the smartest to win.

You just have to be the last man standing.

Pain tolerance > IQ",6781
2033562742779445619',"To any employees who have a new manager that forces them to do more work. Instead of disliking them, just remember that the more work you do, the more valuable you are. So whether you like it or not, they are helping, not hurting you.",2046
2033318014024847666',I’ve never seen anyone who asked me: “Why are you working so hard?” win at anything.,2947
2033188579405602984',"Work so hard you become every teacher’s top student. 

Work so hard you make a losing strategy a winning strategy. 

Work so hard, the people who helped you claim your success, because it’s bigger than their own. 

Violence is the answer.",4843
2033166695938810085',Taking off Saturdays > Taking off Sundays.,2316
2032784318389440926',Customers become friends faster than friends become customers.,16179
2031471808176664729',"Buy shit from your friends businesses and try and get free shit from strangers.

Not the other way around.",23526
1975215505188217026',how long you mourn has no bearing on how much you loved,3182
1974929727870656831',"The simplest explanation for hiring a team:

You can outwork anyone but you can’t outwork everyone.",2010
1974526176740659457',"If it’s doable, then you can do it. There’s nothing more to winning than that.",3563
1974300679813681423',You can change your entire bloodline the moment you realize: what you do next always matters more than what you did last.,10947
1973870305945780712',"You can beat 99% of people if you can master the shame of rejection, the boredom of repetition, and pain of feedback.",28610
1973860759802171629',Nothing costs more in life than what you don’t know yet but should.,3385
1973542242036912549',"How to build a hugely valuable business: 
""Find world class people and get out of their way.""

The problem is, world class people dont want to work for you because you're not good enough, you have no track record, and they dont believe in your mission.

You work to deserve them.",1297
1973494426497421400',"The reason you don’t have what you want is because you're not doing enough, your standards are too low, and you haven't given time...time.",4207
1973448063726330335',"The fastest way to become successful is to associate with people more successful than you. This results in some of the fastest learning and behavior change you can experience.

The problem is...they wont want anything to do with you. 

So you have to find ONE thing you're more successful than them at, and give that thing freely. Not at cost. Not tit for tat. Freely. Without expectation. It's an unspoken code of people who are higher up - they're almost all givers. The easiest way to see someone who is ""out of place"" is to spot the taker. Spot the person always angling.

Anyways once you do actually provide value (help them do something good they couldn't do before or help them avoid something bad they used to have to deal with, or get the same outcome they're used to faster or cheaper)...they'll let you hang around.

Then you learn as much as you possibly can and try and be the best in that group at EVERYTHING. And when that happens they'll see you as a leader. You won't even have to say it. The power dynamics will just shift.",5477
1973403840759083061',"The easiest way to get rich is you solve a problem that everyone has, but nobody wants to do.",5835
1973235214596895175',"You don't get what you deserve, you get what you decide you deserve. But you gotta decide.",4936
1968731790090092693',"People want to be mentally tougher but don't define what that actually means.
Toughness: The amount of bad stuff you can take before you change how you act. (Fuse)
Fortitude: The amount your behavior changes from a bad thing once it changes. (Intensity)
Resilience: The amount of time it takes you to return to baseline after a bad thing changes how you act. (Rebound)",1534
